source,target,index,stage,hus1b,slc22a1,loc100132354,slc22a16,abca12,c10orf41,c4orf6,c9orf129,cd1c,trim36,afap1l1,c6orf176,cabyr,ccdc146,ces8
TCGA-A3-3316-01,TCGA-DV-5568-01,7,negative,0,4,4,0,0,3,4,4,0,0,4,0,4,0,2
TCGA-A3-3316-01,TCGA-DV-5568-01,8,negative,0,4,4,0,0,4,4,4,0,0,4,0,4,0,1
TCGA-A3-3316-01,TCGA-DV-5568-01,9,negative,0,4,4,0,0,4,4,4,0,0,4,0,4,0,0
TCGA-A3-3324-01,TCGA-B0-4718-01,0,positive,0,4,4,1,0,0,1,4,4,4,4,4,4,0,0
TCGA-A3-3324-01,TCGA-B0-4718-01,1,positive,0,4,4,0,0,0,1,4,4,4,4,4,4,0,0
TCGA-A3-3324-01,TCGA-B0-4718-01,2,positive,1,3,4,0,0,1,0,4,4,4,3,3,4,1,1
TCGA-A3-3324-01,TCGA-B0-4718-01,3,positive,1,2,3,0,1,1,0,3,3,3,3,3,3,2,1
TCGA-A3-3324-01,TCGA-B0-4718-01,4,positive,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
TCGA-A3-3324-01,TCGA-B0-4718-01,5,positive,2,2,2,3,2,2,1,2,2,2,1,1,2,2,2
TCGA-A3-3324-01,TCGA-B0-4718-01,6,positive,3,1,1,3,3,3,3,1,1,1,1,1,1,3,3
TCGA-A3-3324-01,TCGA-B0-4718-01,7,positive,3,1,0,4,4,4,3,0,0,0,0,1,0,3,4
TCGA-A3-3324-01,TCGA-B0-4718-01,8,positive,4,0,0,4,4,4,4,0,0,0,0,0,0,4,4
TCGA-A3-3324-01,TCGA-B0-4718-01,9,positive,4,0,0,4,4,4,4,0,0,0,0,0,0,4,4
TCGA-A3-3324-01,TCGA-B0-5710-01,0,negative,0,0,4,0,4,0,4,4,0,4,0,0,4,0,4
TCGA-A3-3324-01,TCGA-B0-5710-01,1,negative,0,0,4,0,4,0,4,4,0,4,0,0,4,0,4
TCGA-A3-3324-01,TCGA-B0-5710-01,2,negative,0,0,3,0,4,0,4,4,0,3,0,1,3,0,4
TCGA-A3-3324-01,TCGA-B0-5710-01,3,negative,1,1,3,1,3,1,3,3,1,3,1,1,3,1,3
TCGA-A3-3324-01,TCGA-B0-5710-01,4,negative,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
TCGA-A3-3324-01,TCGA-B0-5710-01,5,negative,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
TCGA-A3-3324-01,TCGA-B0-5710-01,6,negative,3,3,1,3,1,3,1,1,3,1,3,3,1,3,1
TCGA-A3-3324-01,TCGA-B0-5710-01,7,negative,4,4,0,4,0,4,0,0,4,0,4,3,0,4,1
TCGA-A3-3324-01,TCGA-B0-5710-01,8,negative,4,4,0,4,0,4,0,0,4,0,4,4,0,4,0
TCGA-A3-3324-01,TCGA-B0-5710-01,9,negative,4,4,0,4,0,4,0,0,4,0,4,4,0,4,0
TCGA-A3-3324-01,TCGA-CW-5589-01,0,negative,0,4,0,0,4,4,4,4,0,4,0,3,0,0,0
TCGA-A3-3324-01,TCGA-CW-5589-01,1,negative,0,4,0,0,4,4,4,4,0,0,0,4,0,0,0
TCGA-A3-3324-01,TCGA-CW-5589-01,2,negative,0,4,0,0,4,4,4,4,0,0,0,4,0,0,1
TCGA-A3-3324-01,TCGA-CW-5589-01,3,negative,1,3,1,1,3,3,3,3,1,1,1,3,1,1,1
TCGA-A3-3324-01,TCGA-CW-5589-01,4,negative,2,2,2,2,2,3,2,2,2,1,2,3,2,2,3
TCGA-A3-3324-01,TCGA-CW-5589-01,5,negative,3,1,2,2,2,2,2,2,3,2,2,2,2,2,4
TCGA-A3-3324-01,TCGA-CW-5589-01,6,negative,3,1,3,3,1,1,1,1,3,2,3,2,3,3,4
TCGA-A3-3324-01,TCGA-CW-5589-01,7,negative,4,0,4,4,0,0,0,0,4,2,4,1,4,4,3
TCGA-A3-3324-01,TCGA-CW-5589-01,8,negative,4,0,4,4,0,0,0,0,4,3,4,0,4,4,3
TCGA-A3-3324-01,TCGA-CW-5589-01,9,negative,4,0,4,4,0,0,0,0,4,4,4,0,4,4,3
TCGA-A3-3325-01,TCGA-B0-4848-01,0,positive,3,4,0,4,0,0,0,0,4,0,4,0,0,4,0
TCGA-A3-3325-01,TCGA-B0-4848-01,1,positive,3,4,0,4,0,0,0,0,4,0,4,0,0,4,0
TCGA-A3-3325-01,TCGA-B0-4848-01,2,positive,3,4,0,4,0,1,0,0,4,0,4,0,0,4,0
TCGA-A3-3325-01,TCGA-B0-4848-01,3,positive,3,3,1,3,1,1,1,1,3,1,3,1,1,3,1
TCGA-A3-3325-01,TCGA-B0-4848-01,4,positive,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2
TCGA-A3-3325-01,TCGA-B0-4848-01,5,positive,3,1,2,2,2,3,2,2,2,2,1,2,2,2,3
TCGA-A3-3325-01,TCGA-B0-4848-01,6,positive,2,1,3,1,3,3,3,3,1,3,1,3,3,1,3
TCGA-A3-3325-01,TCGA-B0-4848-01,7,positive,1,0,4,0,4,3,4,4,0,4,0,4,3,0,4
TCGA-A3-3325-01,TCGA-B0-4848-01,8,positive,0,0,4,0,4,4,4,4,0,4,0,4,4,0,4
TCGA-A3-3325-01,TCGA-B0-4848-01,9,positive,0,0,4,0,4,4,4,4,0,4,0,4,4,0,4
TCGA-A3-3325-01,TCGA-B2-3923-01,0,negative,4,4,0,4,0,4,0,0,4,0,4,4,0,0,0
TCGA-A3-3325-01,TCGA-B2-3923-01,1,negative,4,4,0,4,0,4,1,1,4,0,4,4,0,0,0
TCGA-A3-3325-01,TCGA-B2-3923-01,2,negative,4,4,0,3,0,4,1,1,4,1,4,4,0,0,0
TCGA-A3-3325-01,TCGA-B2-3923-01,3,negative,3,3,1,2,1,3,1,1,3,1,3,3,1,1,1
TCGA-A3-3325-01,TCGA-B2-3923-01,4,negative,3,2,2,1,2,2,1,1,2,1,2,2,2,2,2
TCGA-A3-3325-01,TCGA-B2-3923-01,5,negative,2,2,2,0,2,2,1,1,2,1,2,2,2,3,2
TCGA-A3-3325-01,TCGA-B2-3923-01,6,negative,1,1,3,0,3,1,3,3,1,2,1,1,3,3,3
TCGA-A3-3325-01,TCGA-B2-3923-01,7,negative,1,0,4,1,3,0,4,4,0,3,0,0,4,4,4
TCGA-A3-3325-01,TCGA-B2-3923-01,8,negative,0,0,4,3,4,0,4,4,0,4,0,0,4,4,4
TCGA-A3-3325-01,TCGA-B2-3923-01,9,negative,0,0,4,4,4,0,4,4,0,4,0,0,4,4,4
TCGA-A3-3325-01,TCGA-BP-5200-01,0,negative,4,4,0,4,3,4,0,0,4,0,4,0,0,0,0
TCGA-A3-3325-01,TCGA-BP-5200-01,1,negative,4,4,0,4,3,4,0,0,4,0,4,0,0,0,0
TCGA-A3-3325-01,TCGA-BP-5200-01,2,negative,4,4,0,3,2,4,0,0,3,1,4,0,0,0,1
TCGA-A3-3325-01,TCGA-BP-5200-01,3,negative,3,3,1,2,1,3,1,1,3,1,3,1,1,1,1
TCGA-A3-3325-01,TCGA-BP-5200-01,4,negative,2,2,2,1,1,2,2,2,3,1,2,2,2,2,1
TCGA-A3-3325-01,TCGA-BP-5200-01,5,negative,2,2,2,0,0,2,2,3,2,2,1,3,2,2,2
TCGA-A3-3325-01,TCGA-BP-5200-01,6,negative,1,1,3,0,0,1,3,3,1,2,1,4,3,3,2
TCGA-A3-3325-01,TCGA-BP-5200-01,7,negative,0,0,4,0,1,0,4,4,1,3,0,4,4,4,3
TCGA-A3-3325-01,TCGA-BP-5200-01,8,negative,0,0,4,1,3,0,4,4,0,4,0,3,4,4,4
TCGA-A3-3325-01,TCGA-BP-5200-01,9,negative,0,0,4,2,4,0,4,4,0,4,0,3,4,4,4
TCGA-A3-3328-01,TCGA-CW-5591-01,0,positive,0,0,0,4,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3328-01,TCGA-CW-5591-01,1,positive,0,0,0,3,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3328-01,TCGA-CW-5591-01,2,positive,0,0,1,3,4,4,4,3,0,1,0,0,0,0,4
TCGA-A3-3328-01,TCGA-CW-5591-01,3,positive,1,1,1,2,3,3,3,3,1,1,1,1,1,1,3
TCGA-A3-3328-01,TCGA-CW-5591-01,4,positive,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3328-01,TCGA-CW-5591-01,5,positive,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3328-01,TCGA-CW-5591-01,6,positive,3,3,3,0,1,1,1,1,3,3,3,3,3,3,1
TCGA-A3-3328-01,TCGA-CW-5591-01,7,positive,3,4,4,0,0,0,1,1,4,3,4,4,4,4,0
TCGA-A3-3328-01,TCGA-CW-5591-01,8,positive,4,4,4,2,0,0,0,0,4,4,4,4,4,4,0
TCGA-A3-3328-01,TCGA-CW-5591-01,9,positive,4,4,4,4,0,0,0,0,4,4,4,4,4,4,0
TCGA-A3-3329-01,TCGA-A3-3343-01,0,negative,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
TCGA-A3-3329-01,TCGA-A3-3343-01,1,negative,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
TCGA-A3-3329-01,TCGA-A3-3343-01,2,negative,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
TCGA-A3-3329-01,TCGA-A3-3343-01,3,negative,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1
TCGA-A3-3329-01,TCGA-A3-3343-01,4,negative,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3329-01,TCGA-A3-3343-01,5,negative,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3329-01,TCGA-A3-3343-01,6,negative,3,3,1,3,3,1,3,1,3,3,3,3,3,3,3
TCGA-A3-3329-01,TCGA-A3-3343-01,7,negative,4,4,0,4,4,0,4,0,4,4,4,4,4,4,3
TCGA-A3-3329-01,TCGA-A3-3343-01,8,negative,4,4,0,4,4,0,4,0,4,4,4,4,4,4,4
TCGA-A3-3329-01,TCGA-A3-3343-01,9,negative,4,4,0,4,4,0,4,0,4,4,4,4,4,4,4
TCGA-A3-3329-01,TCGA-B0-4816-01,0,negative,4,0,0,4,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3329-01,TCGA-B0-4816-01,1,negative,4,0,0,4,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3329-01,TCGA-B0-4816-01,2,negative,4,0,0,4,4,4,4,4,0,0,0,0,0,0,4
TCGA-A3-3329-01,TCGA-B0-4816-01,3,negative,3,1,1,3,3,3,3,3,1,1,1,1,1,1,3
TCGA-A3-3329-01,TCGA-B0-4816-01,4,negative,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3329-01,TCGA-B0-4816-01,5,negative,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3329-01,TCGA-B0-4816-01,6,negative,1,3,3,1,1,1,1,1,3,3,3,3,3,3,1
TCGA-A3-3329-01,TCGA-B0-4816-01,7,negative,0,4,4,0,0,0,0,0,4,4,4,4,4,4,0
TCGA-A3-3329-01,TCGA-B0-4816-01,8,negative,0,4,4,0,0,0,0,0,4,4,4,4,4,4,0
TCGA-A3-3329-01,TCGA-B0-4816-01,9,negative,0,4,4,0,0,0,0,0,4,4,4,4,4,4,0
TCGA-A3-3329-01,TCGA-CJ-4635-01,0,negative,4,0,0,4,4,0,0,0,0,0,0,0,4,4,4
TCGA-A3-3329-01,TCGA-CJ-4635-01,1,negative,4,0,0,4,4,0,0,0,0,0,0,0,3,4,4
TCGA-A3-3329-01,TCGA-CJ-4635-01,2,negative,4,0,0,3,4,0,0,1,0,0,0,0,2,4,4
TCGA-A3-3329-01,TCGA-CJ-4635-01,3,negative,3,1,1,3,3,1,2,1,1,1,1,1,0,3,3
TCGA-A3-3329-01,TCGA-CJ-4635-01,4,negative,3,2,1,2,2,1,3,1,2,1,2,2,0,3,2
TCGA-A3-3329-01,TCGA-CJ-4635-01,5,negative,2,2,2,1,2,2,3,2,2,2,2,2,0,2,2
TCGA-A3-3329-01,TCGA-CJ-4635-01,6,negative,1,3,3,1,1,3,4,3,3,3,3,3,1,1,1
TCGA-A3-3329-01,TCGA-CJ-4635-01,7,negative,0,4,4,0,0,4,4,3,4,4,4,4,2,0,0
TCGA-A3-3329-01,TCGA-CJ-4635-01,8,negative,0,4,4,0,0,4,3,4,4,4,4,4,3,0,0
TCGA-A3-3329-01,TCGA-CJ-4635-01,9,negative,0,4,4,0,0,4,3,4,4,4,4,4,4,0,0
TCGA-A3-3329-01,TCGA-CJ-5679-01,0,positive,4,0,0,4,4,0,0,0,0,0,0,0,0,4,4
TCGA-A3-3329-01,TCGA-CJ-5679-01,1,positive,4,1,0,4,4,0,0,0,0,0,0,0,0,4,4
TCGA-A3-3329-01,TCGA-CJ-5679-01,2,positive,3,1,1,4,4,0,0,0,0,0,0,0,1,4,4
TCGA-A3-3329-01,TCGA-CJ-5679-01,3,positive,3,1,1,3,3,1,1,1,1,1,1,1,1,3,3
TCGA-A3-3329-01,TCGA-CJ-5679-01,4,positive,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3329-01,TCGA-CJ-5679-01,5,positive,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3329-01,TCGA-CJ-5679-01,6,positive,1,2,2,1,1,3,3,3,3,3,3,3,3,1,1
TCGA-A3-3329-01,TCGA-CJ-5679-01,7,positive,1,2,3,0,0,3,4,4,4,3,4,4,3,0,0
TCGA-A3-3329-01,TCGA-CJ-5679-01,8,positive,0,3,4,0,0,4,4,4,4,4,4,4,4,0,0
TCGA-A3-3329-01,TCGA-CJ-5679-01,9,positive,0,4,4,0,0,4,4,4,4,4,4,4,4,0,0
TCGA-A3-3331-01,TCGA-B0-4693-01,0,positive,4,0,4,0,4,0,0,4,0,0,0,4,0,0,0
TCGA-A3-3331-01,TCGA-B0-4693-01,1,positive,4,0,4,0,4,0,0,4,0,0,0,4,0,0,0
TCGA-A3-3331-01,TCGA-B0-4693-01,2,positive,4,0,4,0,4,1,0,4,0,0,0,4,0,0,0
TCGA-A3-3331-01,TCGA-B0-4693-01,3,positive,3,1,3,1,3,1,1,3,1,1,1,3,1,1,1
TCGA-A3-3331-01,TCGA-B0-4693-01,4,positive,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3331-01,TCGA-B0-4693-01,5,positive,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3331-01,TCGA-B0-4693-01,6,positive,1,3,1,3,1,3,3,1,3,3,3,1,3,3,3
TCGA-A3-3331-01,TCGA-B0-4693-01,7,positive,0,4,0,4,0,4,4,0,4,4,4,0,4,4,4
TCGA-A3-3331-01,TCGA-B0-4693-01,8,positive,0,4,0,4,0,4,4,0,4,4,4,0,4,4,4
TCGA-A3-3331-01,TCGA-B0-4693-01,9,positive,0,4,0,4,0,4,4,0,4,4,4,0,4,4,4
TCGA-A3-3335-01,TCGA-BP-4989-01,0,positive,0,4,0,4,0,0,0,4,4,0,0,0,4,0,0
TCGA-A3-3335-01,TCGA-BP-4989-01,1,positive,0,4,0,4,0,0,0,4,4,0,0,0,4,0,0
TCGA-A3-3335-01,TCGA-BP-4989-01,2,positive,1,3,0,4,0,0,0,4,4,0,0,1,4,1,1
TCGA-A3-3335-01,TCGA-BP-4989-01,3,positive,1,3,1,3,1,1,1,3,3,1,1,1,3,1,1
TCGA-A3-3335-01,TCGA-BP-4989-01,4,positive,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3335-01,TCGA-BP-4989-01,5,positive,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TCGA-A3-3335-01,TCGA-BP-4989-01,6,positive,3,1,3,1,3,3,3,1,1,3,3,3,1,3,3
TCGA-A3-3335-01,TCGA-BP-4989-01,7,positive,3,0,4,0,4,4,4,0,0,4,4,4,0,4,4
TCGA-A3-3335-01,TCGA-BP-4989-01,8,positive,4,0,4,0,4,4,4,0,0,4,4,4,0,4,4
TCGA-A3-3335-01,TCGA-BP-4989-01,9,positive,4,0,4,0,4,4,4,0,0,4,4,4,0,4,4
TCGA-A3-3335-01,TCGA-BP-5184-01,0,negative,4,0,0,0,4,4,4,4,0,4,0,4,0,0,1
TCGA-A3-3335-01,TCGA-BP-5184-01,1,negative,4,0,0,0,4,4,4,4,0,4,0,4,0,0,1
TCGA-A3-3335-01,TCGA-BP-5184-01,2,negative,4,0,0,1,4,4,3,4,1,3,0,4,0,0,1
TCGA-A3-3335-01,TCGA-BP-5184-01,3,negative,3,1,1,1,3,3,3,3,2,2,1,3,1,1,1
TCGA-A3-3335-01,TCGA-BP-5184-01,4,negative,3,1,1,1,2,2,3,2,3,1,2,3,1,2,0
TCGA-A3-3335-01,TCGA-BP-5184-01,5,negative,2,2,2,2,2,1,2,2,4,1,2,2,2,2,0
TCGA-A3-3335-01,TCGA-BP-5184-01,6,negative,1,3,3,3,1,1,1,1,4,0,3,1,3,3,1
TCGA-A3-3335-01,TCGA-BP-5184-01,7,negative,0,4,4,3,0,0,0,0,3,1,4,0,4,4,3
TCGA-A3-3335-01,TCGA-BP-5184-01,8,negative,0,4,4,4,0,0,0,0,3,1,4,0,4,4,4
TCGA-A3-3335-01,TCGA-BP-5184-01,9,negative,0,4,4,4,0,0,0,0,2,1,4,0,4,4,4
TCGA-A3-3343-01,TCGA-BP-5173-01,0,negative,4,4,0,4,4,4,0,0,0,0,0,4,0,0,4
TCGA-A3-3343-01,TCGA-BP-5173-01,1,negative,4,4,0,4,4,4,0,3,1,0,0,4,0,0,4
TCGA-A3-3343-01,TCGA-BP-5173-01,2,negative,4,4,0,4,4,4,0,4,3,0,0,4,0,1,4
TCGA-A3-3343-01,TCGA-BP-5173-01,3,negative,3,3,1,3,3,3,1,4,3,1,1,3,1,1,3
TCGA-A3-3343-01,TCGA-BP-5173-01,4,negative,2,2,2,2,2,2,2,4,4,1,2,3,2,2,2
